nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
FNsP F.D. Roosevelta Banská Bystrica;2020-11-11;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;8;0.160000;42;50;23;0.657143;12;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;6;0.600000;4;10;37;0.373737;62;99
FNSP J. A. Reimana Prešov;2020-11-11;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;89;0.723577;34;123;6;0.428571;8;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;102;0.684564;47;149
FNsP Nové Zámky;2020-11-11;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;32;0.250000;7;128;20;0.400000;5;50;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;5;5;7;0.777778;2;9;59;0.307292;19;192
FNsP Skalica;2020-11-11;Trnavský kraj;Okres Skalica;Skalica;P81264051101;14;0.608696;9;23;13;0.619048;8;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;6;1.000000;0;6;33;0.622642;17;53
FNsP Žilina;2020-11-11;Žilinský kraj;Okres Žilina;Žilina;N92725025101;13;0.175676;19;74;61;0.743902;4;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;82;0.493976;25;166
HONsP Trstená;2020-11-11;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;23;0.575000;17;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;1;1.000000;0;1;24;0.571429;18;42
KNsP Čadca;2020-11-11;Žilinský kraj;Okres Čadca;Čadca;N21149004101;34;0.772727;10;44;34;0.944444;2;36;4;1.000000;0;4;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;74;0.860465;12;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-11;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;14;0.368421;24;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;17;0.404762;25;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-11;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;25;0.892857;3;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;28;0.736842;10;38
N. A. Wintera, Piešťany;2020-11-11;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;11;0.550000;9;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;4;11;0.458333;10;24
N. arm. g. L. Svobodu Svidník;2020-11-11;Prešovský kraj;Okres Svidník;Svidník;P97554001101;3;0.300000;7;10;9;0.450000;11;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;13;0.382353;21;34
Nemocnica A. Leňa Humenné;2020-11-11;Prešovský kraj;Okres Humenné;Humenné;P27233192101;24;0.888889;3;27;7;0.875000;1;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;38;0.808511;9;47
Nemocnica Poprad;2020-11-11;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;22;0.478261;16;46;0;0.000000;0;0;0;0.000000;0;0;4;1.000000;0;4;4;0.666667;0;6;30;0.535714;16;56
Nemocnica Snina;2020-11-11;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;6;0.500000;6;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;22;0.733333;8;30
NnoM Partizánske;2020-11-11;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;6;0.428571;8;14;7;0.700000;3;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;15;0.576923;11;26
NRC Kováčová;2020-11-11;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-11;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-11;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;7;0.700000;3;10;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;0;0;25;0.833333;5;30
NsP Ilava;2020-11-11;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;10;0.714286;4;14;2;0.333333;4;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;12;0.600000;8;20
NsP Myjava;2020-11-11;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;0;0.000000;3;18;6;0.272727;16;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;7;0.170732;19;41
NsP Považská Bystrica;2020-11-11;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;0;0.000000;45;135;47;0.854545;8;55;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;4;4;3;0.500000;3;6;50;0.246305;63;203
NsP Prievidza so s. v Bojniciach;2020-11-11;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;25;0.833333;5;30;25;1.000000;0;25;1;0.500000;1;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;54;0.885246;7;61
NsP Š. Kukuru Michalovce;2020-11-11;Košický kraj;Okres Michalovce;Michalovce;P66599002101;1;0.083333;11;12;22;0.536585;19;41;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;28;0.459016;33;61
NsP Spišská Nová Ves;2020-11-11;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;0;0.000000;13;38;22;0.916667;2;24;0;0.000000;0;1;1;1.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;25;0.378788;15;66
