nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
UNB - Staré Meso;2020-11-14;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;10;1.000000;0;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;10;0.416667;6;24
UNB - sv. Cyrila a Metoda;2020-11-14;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;6;0.600000;4;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;2;0.666667;1;3;9;0.473684;7;19
ÚVN SNP Ružomberok;2020-11-14;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;24;0.545455;20;44;12;0.214286;44;56;0;0.000000;5;5;0;0.000000;0;0;4;0.250000;8;16;0;0.000000;0;0;40;0.330579;77;121
VOÚ Košice;2020-11-14;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-14;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;24;0.666667;12;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;25;0.490196;26;51
VšNsP Lučenec;2020-11-14;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;16;0.262295;45;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;18;0.176471;84;102
VÚSCH Košice;2020-11-14;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-14;Košický kraj;Okres Rožňava;Rožňava;P85363027101;1;0.028571;34;35;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;0.068182;41;44
AGEL Krompachy;2020-11-14;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-14;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-14;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-15;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;25;0.833333;5;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;27;0.771429;8;35
AGEL Levice;2020-11-15;Nitriansky kraj;Okres Levice;Levice;P01675196101;1;0.047619;20;21;10;0.416667;14;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;14;0.254545;41;55
AGEL Levoča;2020-11-15;Prešovský kraj;Okres Levoča;Levoča;P76239015101;15;0.194805;4;77;10;0.384615;1;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;27;0.236842;7;114
AGEL Zlaté Moravce;2020-11-15;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;2;0.500000;2;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;10;0.500000;3;20
AGEL Zvolen, pr. Krupina;2020-11-15;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-15;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;23;1.000000;0;23;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;25;1.000000;0;25
DFN Košice;2020-11-15;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-15;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;2;0.052632;8;38
DONsP Dolný Kubín;2020-11-15;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;19;0.527778;17;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;19;0.452381;23;42
FN Nitra;2020-11-15;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;69;0.560976;54;123;3;0.111111;24;27;2;0.250000;6;8;0;0.000000;10;10;6;0.500000;6;12;80;0.307692;180;260
FN Trenčín;2020-11-15;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;22;0.440000;28;50;46;0.707692;19;65;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;5;0.500000;5;10;77;0.587786;54;131
FN Trnava;2020-11-15;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;8;0.105263;68;76;0;0.000000;0;0;2;0.333333;4;6;0;0.000000;0;0;4;0.400000;6;10;33;0.261905;93;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-15;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;8;0.160000;42;50;19;0.542857;16;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;9;0.900000;1;10;36;0.363636;63;99
FNSP J. A. Reimana Prešov;2020-11-15;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;64;0.520325;59;123;4;0.285714;10;14;0;0.000000;0;0;0;0.000000;0;0;8;0.666667;4;12;76;0.510067;73;149
FNsP Nové Zámky;2020-11-15;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;34;0.265625;5;128;18;0.360000;7;50;0;0.000000;0;0;0;0.000000;0;0;1;0.200000;4;5;4;0.444444;5;9;57;0.296875;21;192
FNsP Skalica;2020-11-15;Trnavský kraj;Okres Skalica;Skalica;P81264051101;8;0.347826;15;23;15;0.714286;6;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;27;0.509434;23;53
FNsP Žilina;2020-11-15;Žilinský kraj;Okres Žilina;Žilina;N92725025101;9;0.121622;23;74;43;0.524390;22;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;60;0.361446;47;166
HONsP Trstená;2020-11-15;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;14;0.350000;24;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;1.000000;0;3;17;0.386364;25;44
KNsP Čadca;2020-11-15;Žilinský kraj;Okres Čadca;Čadca;N21149004101;42;0.954545;2;44;24;0.666667;12;36;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;70;0.813953;16;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-15;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;15;0.394737;23;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;17;0.404762;25;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-15;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;18;0.642857;10;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;21;0.552632;17;38
N. A. Wintera, Piešťany;2020-11-15;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;13;0.650000;7;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;0;13;0.565217;10;23
N. arm. g. L. Svobodu Svidník;2020-11-15;Prešovský kraj;Okres Svidník;Svidník;P97554001101;6;0.600000;4;10;12;0.600000;8;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;20;0.588235;14;34
Nemocnica A. Leňa Humenné;2020-11-15;Prešovský kraj;Okres Humenné;Humenné;P27233192101;14;0.518519;13;27;8;1.000000;0;8;5;0.500000;5;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;27;0.574468;20;47
Nemocnica Poprad;2020-11-15;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;23;0.500000;15;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;4;0.666667;0;6;29;0.517857;17;56
Nemocnica Snina;2020-11-15;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;6;0.500000;6;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;22;0.733333;8;30
NnoM Partizánske;2020-11-15;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;7;0.500000;7;14;8;0.800000;2;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;18;0.666667;9;27
NRC Kováčová;2020-11-15;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-15;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-15;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;9;0.900000;1;10;19;1.055556;-1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;0;0;28;0.933333;2;30
NsP Ilava;2020-11-15;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;15;1.000000;0;15;6;1.000000;0;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;21;1.000000;0;21
NsP Myjava;2020-11-15;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;5;0.277778;13;18;6;0.272727;16;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;12;0.272727;32;44
NsP Považská Bystrica;2020-11-15;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;5;0.037037;40;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;65;0.320197;48;203
NsP Prievidza so s. v Bojniciach;2020-11-15;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;17;0.566667;13;30;22;0.880000;3;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;42;0.688525;19;61
NsP Š. Kukuru Michalovce;2020-11-15;Košický kraj;Okres Michalovce;Michalovce;P66599002101;2;0.166667;10;12;19;0.463415;22;41;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;28;0.430769;33;65
NsP Spišská Nová Ves;2020-11-15;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;4;0.105263;9;38;24;1.000000;0;24;0;0.000000;0;1;0;0.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;30;0.454545;9;66
NsP sv. Jakuba Bardejov;2020-11-15;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;1;0.250000;3;4;20;0.500000;20;40;1;0.250000;3;4;3;1.000000;0;3;0;0.000000;0;0;3;0.750000;1;4;28;0.509091;27;55
NsP sv. Lukáša Galanta;2020-11-15;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;15;0.833333;2;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;5;1.000000;0;5;20;0.434783;2;46
NsP Trebišov;2020-11-15;Košický kraj;Okres Trebišov;Trebišov;P81577014101;9;0.257143;26;35;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;18;0.391304;28;46
NÚDCH Bratislava;2020-11-15;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-15;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-15;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;20;0.714286;8;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;22;0.709677;9;31
OÚ sv. Alžbety Bratislava;2020-11-15;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-15;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-15;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-15;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;83;1.000000;0;83;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;83;1.000000;0;83
SÚSÚSCCH Banská Bystrica;2020-11-15;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-15;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;20;0.833333;4;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;20;0.526316;18;38
Svet zdravia Topoľčany;2020-11-15;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;9;0.750000;3;12;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;13;0.433333;17;30
Svet zdravia Žiar nad Hronom;2020-11-15;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;8;0.444444;10;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;9;0.473684;10;19
UN L. Pasteura Košice;2020-11-15;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;49;0.462264;57;106;2;0.222222;7;9;3;0.300000;7;10;0;0.000000;2;2;0;0.000000;17;17;54;0.367347;93;147
UN Martin;2020-11-15;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;59;0.567308;26;104;0;0.000000;0;0;6;0.300000;8;20;9;0.750000;3;12;0;0.000000;1;1;74;0.456790;49;162
UNB - akad. L. Dérera;2020-11-15;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;44;0.427184;15;103;0;0.000000;0;0;6;0.400000;0;15;0;0.000000;0;0;4;0.800000;1;5;54;0.400000;28;135
UNB - Ružinov;2020-11-15;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;19;0.463415;2;41;5;0.500000;0;10;2;0.400000;0;5;0;0.000000;0;0;7;0.437500;0;16;33;0.458333;2;72
UNB - Staré Meso;2020-11-15;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;9;0.900000;1;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;9;0.375000;7;24
UNB - sv. Cyrila a Metoda;2020-11-15;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;5;0.500000;5;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;2;0.666667;1;3;8;0.421053;8;19
ÚVN SNP Ružomberok;2020-11-15;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;21;0.477273;23;44;11;0.196429;45;56;0;0.000000;5;5;0;0.000000;0;0;4;0.250000;8;16;0;0.000000;0;0;36;0.297521;81;121
VOÚ Košice;2020-11-15;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-15;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;22;0.611111;14;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;23;0.450980;28;51
VšNsP Lučenec;2020-11-15;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;16;0.262295;45;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;18;0.176471;84;102
VÚSCH Košice;2020-11-15;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-15;Košický kraj;Okres Rožňava;Rožňava;P85363027101;1;0.028571;34;35;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;0.068182;41;44
AGEL Krompachy;2020-11-15;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-15;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-15;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-16;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;27;0.900000;3;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;29;0.828571;6;35
AGEL Levice;2020-11-16;Nitriansky kraj;Okres Levice;Levice;P01675196101;1;0.047619;20;21;10;0.416667;14;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;14;0.254545;41;55
AGEL Levoča;2020-11-16;Prešovský kraj;Okres Levoča;Levoča;P76239015101;13;0.168831;6;77;10;0.384615;1;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;26;0.228070;8;114
AGEL Zlaté Moravce;2020-11-16;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;4;1.000000;0;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;12;0.600000;1;20
AGEL Zvolen, pr. Krupina;2020-11-16;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-16;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;23;1.000000;0;23;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;24;0.960000;1;25
DFN Košice;2020-11-16;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-16;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;3;0.375000;5;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;3;0.078947;7;38
DONsP Dolný Kubín;2020-11-16;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;19;0.527778;17;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;20;0.476190;22;42
FN Nitra;2020-11-16;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;69;0.560976;54;123;3;0.111111;24;27;2;0.250000;6;8;0;0.000000;10;10;6;0.500000;6;12;80;0.307692;180;260
FN Trenčín;2020-11-16;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;32;0.640000;18;50;42;0.646154;23;65;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;6;0.600000;4;10;84;0.641221;47;131
FN Trnava;2020-11-16;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;10;0.131579;66;76;0;0.000000;0;0;2;0.333333;4;6;0;0.000000;0;0;4;0.400000;6;10;35;0.277778;91;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-16;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;9;0.180000;41;50;18;0.514286;17;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;9;0.900000;1;10;36;0.363636;63;99
FNSP J. A. Reimana Prešov;2020-11-16;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;68;0.552846;55;123;4;0.285714;10;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;79;0.530201;70;149
FNsP Nové Zámky;2020-11-16;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;34;0.265625;5;128;18;0.360000;7;50;0;0.000000;0;0;0;0.000000;0;0;1;0.200000;4;5;4;0.444444;5;9;57;0.296875;21;192
FNsP Skalica;2020-11-16;Trnavský kraj;Okres Skalica;Skalica;P81264051101;8;0.347826;15;23;13;0.619048;8;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;25;0.471698;25;53
FNsP Žilina;2020-11-16;Žilinský kraj;Okres Žilina;Žilina;N92725025101;8;0.108108;24;74;42;0.512195;23;82;0;0.000000;0;0;0;0.000000;0;0;9;0.900000;1;10;0;0.000000;0;0;59;0.355422;48;166
HONsP Trstená;2020-11-16;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;12;0.300000;26;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;2;0.666667;1;3;14;0.318182;28;44
KNsP Čadca;2020-11-16;Žilinský kraj;Okres Čadca;Čadca;N21149004101;42;0.954545;2;44;24;0.666667;12;36;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;70;0.813953;16;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-16;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;17;0.447368;21;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;1;0.333333;2;3;18;0.428571;24;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-16;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;21;0.750000;7;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;24;0.631579;14;38
N. A. Wintera, Piešťany;2020-11-16;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;14;0.700000;6;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;0;14;0.608696;9;23
N. arm. g. L. Svobodu Svidník;2020-11-16;Prešovský kraj;Okres Svidník;Svidník;P97554001101;8;0.800000;2;10;12;0.600000;8;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;22;0.647059;12;34
Nemocnica A. Leňa Humenné;2020-11-16;Prešovský kraj;Okres Humenné;Humenné;P27233192101;17;0.629630;10;27;7;0.875000;1;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;30;0.638298;17;47
Nemocnica Poprad;2020-11-16;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;25;0.543478;13;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;4;0.666667;0;6;31;0.553571;15;56
Nemocnica Snina;2020-11-16;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;7;0.583333;5;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;23;0.766667;7;30
NnoM Partizánske;2020-11-16;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;7;0.500000;7;14;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;19;0.703704;8;27
NRC Kováčová;2020-11-16;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-16;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-16;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;10;1.000000;0;10;17;0.944444;1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;0;0;27;0.900000;3;30
