"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-14;"Okres Hlohovec";44;56;100
2021-01-14;"Okres Humenné";38;87;125
2021-01-14;"Okres Ilava";40;66;106
2021-01-14;"Okres Kežmarok";8;50;58
2021-01-14;"Okres Komárno";38;109;147
2021-01-14;"Okres Košice - okolie";72;246;318
2021-01-14;"Okres Košice I";13;47;60
2021-01-14;"Okres Košice II";16;75;91
2021-01-14;"Okres Košice III";22;29;51
2021-01-14;"Okres Košice IV";12;40;52
2021-01-14;"Okres Krupina";6;26;32
2021-01-14;"Okres Kysucké Nové Mesto";6;22;28
2021-01-14;"Okres Levice";47;122;169
2021-01-14;"Okres Levoča";7;51;58
2021-01-14;"Okres Liptovský Mikuláš";3;33;36
2021-01-14;"Okres Lučenec";62;171;233
2021-01-14;"Okres Malacky";25;84;109
2021-01-14;"Okres Martin";26;85;111
2021-01-14;"Okres Medzilaborce";5;11;16
2021-01-14;"Okres Michalovce";32;112;144
2021-01-14;"Okres Myjava";7;33;40
2021-01-14;"Okres Námestovo";2;19;21
2021-01-14;"Okres Nitra";62;141;203
2021-01-14;"Okres Nové Mesto nad Váhom";56;143;199
2021-01-14;"Okres Nové Zámky";101;143;244
2021-01-14;"Okres Partizánske";15;36;51
2021-01-14;"Okres Pezinok";23;113;136
2021-01-14;"Okres Piešťany";83;109;192
2021-01-14;"Okres Poltár";8;19;27
2021-01-14;"Okres Poprad";25;89;114
2021-01-14;"Okres Považská Bystrica";33;61;94
2021-01-14;"Okres Prešov";82;400;482
2021-01-14;"Okres Prievidza";51;192;243
2021-01-14;"Okres Púchov";12;43;55
2021-01-14;"Okres Revúca";12;48;60
2021-01-14;"Okres Rimavská Sobota";25;82;107
2021-01-14;"Okres Rožňava";8;58;66
2021-01-14;"Okres Ružomberok";12;62;74
2021-01-14;"Okres Sabinov";9;95;104
2021-01-14;"Okres Senec";37;161;198
2021-01-14;"Okres Senica";14;25;39
2021-01-14;"Okres Skalica";3;24;27
2021-01-14;"Okres Snina";4;48;52
2021-01-14;"Okres Sobrance";2;30;32
2021-01-14;"Okres Spišská Nová Ves";8;50;58
2021-01-14;"Okres Stará Ľubovňa";35;162;197
2021-01-14;"Okres Stropkov";4;20;24
2021-01-14;"Okres Svidník";10;71;81
2021-01-14;"Okres Šaľa";28;57;85
2021-01-14;"Okres Topoľčany";32;58;90
2021-01-14;"Okres Trebišov";75;172;247
2021-01-14;"Okres Trenčín";46;123;169
2021-01-14;"Okres Trnava";113;315;428
2021-01-14;"Okres Turčianske Teplice";2;8;10
2021-01-14;"Okres Tvrdošín";1;12;13
2021-01-14;"Okres Veľký Krtíš";7;28;35
2021-01-14;"Okres Vranov nad Topľou";27;143;170
2021-01-14;"Okres Zlaté Moravce";222;141;363
2021-01-14;"Okres Zvolen";21;139;160
2021-01-14;"Okres Žarnovica";9;47;56
2021-01-14;"Okres Žiar nad Hronom";12;62;74
2021-01-14;"Okres Žilina";57;155;212
2021-01-14;NA;100;476;576
2021-01-13;"Neznáme";388;980;1368
2021-01-13;"Okres Bánovce nad Bebravou";10;26;36
2021-01-13;"Okres Banská Bystrica";71;277;348
2021-01-13;"Okres Banská Štiavnica";0;13;13
2021-01-13;"Okres Bardejov";35;109;144
2021-01-13;"Okres Bratislava I";24;152;176
2021-01-13;"Okres Bratislava II";56;276;332
2021-01-13;"Okres Bratislava III";33;217;250
2021-01-13;"Okres Bratislava IV";59;271;330
2021-01-13;"Okres Bratislava V";56;234;290
2021-01-13;"Okres Brezno";9;79;88
2021-01-13;"Okres Bytča";11;19;30
2021-01-13;"Okres Čadca";20;73;93
2021-01-13;"Okres Detva";7;42;49
2021-01-13;"Okres Dolný Kubín";25;70;95
2021-01-13;"Okres Dunajská Streda";135;271;406
2021-01-13;"Okres Galanta";121;235;356
2021-01-13;"Okres Gelnica";8;49;57
2021-01-13;"Okres Hlohovec";30;111;141
2021-01-13;"Okres Humenné";7;35;42
2021-01-13;"Okres Ilava";33;77;110
2021-01-13;"Okres Kežmarok";43;185;228
2021-01-13;"Okres Komárno";75;174;249
2021-01-13;"Okres Košice - okolie";98;332;430
2021-01-13;"Okres Košice I";15;32;47
2021-01-13;"Okres Košice II";16;46;62
2021-01-13;"Okres Košice III";9;13;22
2021-01-13;"Okres Košice IV";9;20;29
2021-01-13;"Okres Krupina";6;48;54
2021-01-13;"Okres Kysucké Nové Mesto";9;18;27
2021-01-13;"Okres Levice";40;118;158
2021-01-13;"Okres Levoča";12;52;64
2021-01-13;"Okres Liptovský Mikuláš";20;61;81
2021-01-13;"Okres Lučenec";5;33;38
2021-01-13;"Okres Malacky";38;135;173
2021-01-13;"Okres Martin";56;184;240
2021-01-13;"Okres Medzilaborce";2;12;14
2021-01-13;"Okres Michalovce";24;99;123
2021-01-13;"Okres Myjava";11;20;31
2021-01-13;"Okres Námestovo";3;60;63
2021-01-13;"Okres Nitra";114;150;264
2021-01-13;"Okres Nové Mesto nad Váhom";4;44;48
2021-01-13;"Okres Nové Zámky";90;178;268
2021-01-13;"Okres Partizánske";11;21;32
2021-01-13;"Okres Pezinok";16;108;124
2021-01-13;"Okres Piešťany";17;92;109
2021-01-13;"Okres Poltár";7;16;23
2021-01-13;"Okres Poprad";55;137;192
2021-01-13;"Okres Považská Bystrica";57;65;122
2021-01-13;"Okres Prešov";86;335;421
2021-01-13;"Okres Prievidza";37;89;126
2021-01-13;"Okres Púchov";7;26;33
2021-01-13;"Okres Revúca";15;59;74
2021-01-13;"Okres Rimavská Sobota";39;94;133
2021-01-13;"Okres Rožňava";13;64;77
2021-01-13;"Okres Ružomberok";13;79;92
2021-01-13;"Okres Sabinov";22;85;107
2021-01-13;"Okres Senec";43;158;201
2021-01-13;"Okres Senica";12;46;58
2021-01-13;"Okres Skalica";4;22;26
2021-01-13;"Okres Snina";10;33;43
