"";"datum";"district";"region";"covid";"pocet"
"469";2021-07-03;"PP";"PO";"non_covid";42
"470";2021-07-03;"PT";"BB";"non_covid";9
"471";2021-07-03;"PU";"TN";"non_covid";17
"472";2021-07-03;"RA";"BB";"non_covid";17
"473";2021-07-03;"RK";"ZA";"non_covid";16
"474";2021-07-03;"RS";"BB";"non_covid";34
"475";2021-07-03;"RV";"KE";"non_covid";23
"476";2021-07-03;"SA";"NR";"non_covid";15
"477";2021-07-03;"SB";"PO";"non_covid";13
"478";2021-07-03;"SC";"BA";"non_covid";24
"479";2021-07-03;"SE";"TT";"non_covid";13
"480";2021-07-03;"SI";"TT";"non_covid";7
"481";2021-07-03;"SK";"PO";"non_covid";6
"482";2021-07-03;"SL";"PO";"non_covid";23
"483";2021-07-03;"SN";"KE";"non_covid";25
"484";2021-07-03;"SO";"KE";"non_covid";10
"485";2021-07-03;"SP";"PO";"non_covid";6
"486";2021-07-03;"SV";"PO";"non_covid";12
"487";2021-07-03;"TN";"TN";"covid";1
"488";2021-07-03;"TN";"TN";"non_covid";23
"489";2021-07-03;"TO";"NR";"non_covid";10
"490";2021-07-03;"TR";"ZA";"non_covid";6
"491";2021-07-03;"TS";"ZA";"non_covid";8
"492";2021-07-03;"TT";"TT";"non_covid";35
"493";2021-07-03;"TV";"KE";"non_covid";36
"494";2021-07-03;"VK";"BB";"non_covid";8
"495";2021-07-03;"VT";"PO";"non_covid";30
"496";2021-07-03;"ZA";"ZA";"non_covid";55
"497";2021-07-03;"ZC";"BB";"non_covid";15
"498";2021-07-03;"ZH";"BB";"non_covid";7
"499";2021-07-03;"ZM";"NR";"non_covid";11
"500";2021-07-03;"ZV";"BB";"non_covid";13
"501";2021-07-03;NA;"BA";"non_covid";26
"502";2021-07-03;NA;"BB";"non_covid";7
"503";2021-07-03;NA;"KE";"non_covid";2
"504";2021-07-03;NA;"NR";"non_covid";17
"505";2021-07-03;NA;"PO";"non_covid";14
"506";2021-07-03;NA;"TN";"non_covid";4
"507";2021-07-03;NA;"TT";"non_covid";4
"508";2021-07-03;NA;"ZA";"non_covid";6
"509";2021-07-04;"BA";"BA";"non_covid";112
"510";2021-07-04;"BB";"BB";"non_covid";25
"511";2021-07-04;"BJ";"PO";"non_covid";20
"512";2021-07-04;"BN";"TN";"non_covid";6
"513";2021-07-04;"BR";"BB";"non_covid";11
"514";2021-07-04;"BS";"BB";"non_covid";6
"515";2021-07-04;"BY";"ZA";"non_covid";10
"516";2021-07-04;"CA";"ZA";"non_covid";30
"517";2021-07-04;"DK";"ZA";"non_covid";4
"518";2021-07-04;"DS";"TT";"non_covid";22
"519";2021-07-04;"DT";"BB";"non_covid";9
"520";2021-07-04;"GA";"TT";"non_covid";29
"521";2021-07-04;"GL";"KE";"non_covid";22
"522";2021-07-04;"HC";"TT";"non_covid";11
"523";2021-07-04;"HE";"PO";"non_covid";22
"524";2021-07-04;"IL";"TN";"non_covid";14
"525";2021-07-04;"KA";"BB";"non_covid";9
"526";2021-07-04;"KE";"KE";"non_covid";63
