"";"Date";"Vaccinated";"age_group";"Admissions";"Discharges"
"2848";2020-09-30;NA;80;1;0
"2849";2020-09-29;NA;60;3;1
"2850";2020-09-29;NA;70;3;0
"2851";2020-09-28;NA;70;0;1
"2852";2020-09-28;NA;80;0;1
"2853";2020-09-27;NA;70;2;0
"2854";2020-09-26;NA;60;3;0
"2855";2020-09-25;NA;70;0;1
"2856";2020-09-24;NA;0;1;0
"2857";2020-09-24;NA;60;2;0
"2858";2020-09-24;NA;70;1;0
"2859";2020-09-24;NA;80;2;0
"2860";2020-09-23;NA;50;0;1
"2861";2020-09-23;NA;70;2;0
"2862";2020-09-23;NA;80;1;0
"2863";2020-09-22;NA;40;1;1
"2864";2020-09-22;NA;50;1;0
"2865";2020-09-22;NA;80;1;0
"2866";2020-09-21;NA;50;1;0
"2867";2020-09-20;NA;60;1;0
"2868";2020-09-20;NA;70;0;2
"2869";2020-09-19;NA;70;0;1
"2870";2020-09-18;NA;70;1;1
"2871";2020-09-17;NA;60;0;1
"2872";2020-09-17;NA;70;0;1
"2873";2020-09-17;NA;80;0;1
"2874";2020-09-16;NA;60;1;0
"2875";2020-09-15;NA;40;1;0
"2876";2020-09-15;NA;50;1;0
